"","anio","concepto","inv_tot"
"1",2015,"Perforación Pozos Productores de Petróleo(pozos)",3590.78554299
"2",2014,"Perforación Pozos Productores de Petróleo(pozos)",3496.47840798
"3",2013,"Perforación Pozos Productores de Petróleo(pozos)",3134.215352487
"4",2019,"Perforación Pozos Productores de Petróleo(pozos)",2396.65107398497
"5",2012,"Perforación Pozos Productores de Petróleo(pozos)",2303.557
"6",2015,"Perforación Pozos Productores de Gas(pozos)",2260.68252232333
"7",2018,"Perforación Pozos Productores de Gas(pozos)",2158.66457141825
"8",2016,"Perforación Pozos Productores de Petróleo(pozos)",1895.6476
"9",2017,"Perforación Pozos Productores de Gas(pozos)",1886.08114746667
"10",2018,"Perforación Pozos Productores de Petróleo(pozos)",1810.27109594755
"11",2017,"Perforación Pozos Productores de Petróleo(pozos)",1571.43612943
"12",2016,"Perforación Pozos Productores de Gas(pozos)",1571.0408024
"13",2014,"Perforación Pozos Productores de Gas(pozos)",1404.31618140213
"14",2019,"Perforación Pozos Productores de Gas(pozos)",1313.70175724948
"15",2020,"Perforación Pozos Productores de Petróleo(pozos)",1259.66324421
"16",2015,"Reparación de Pozos de Petróleo(pozos)",893.72454025
"17",2013,"Perforación Pozos Productores de Gas(pozos)",741.665354791102
"18",2013,"Reparación de Pozos de Petróleo(pozos)",723.059804153634
"19",2014,"Reparación de Pozos de Petróleo(pozos)",713.385216957333
"20",2015,"Plantas de Tratamiento de Gas Natural",640.35484715
"21",2019,"Otras Inversiones",580.308043332967
"22",2014,"Otras Inversiones",512.820108157205
"23",2012,"Perforación Pozos Productores de Gas(pozos)",511.15131
"24",2015,"Otras Inversiones",501.92865746
"25",2016,"Otras Inversiones",492.66610708
"26",2016,"Reparación de Pozos de Petróleo(pozos)",492.010318878533
"27",2013,"Otras Inversiones",486.305191471631
"28",2019,"Baterias y Plantas de Deshidratación y/o Desalado",478.792397627618
"29",2012,"Reparación de Pozos de Petróleo(pozos)",476.381705988
"30",2017,"Otras Inversiones",460.2324105
"31",2019,"Reparación de Pozos de Petróleo(pozos)",455.262905643629
"32",2018,"Otras Inversiones",433.065464253681
"33",2016,"Baterias y Plantas de Deshidratación y/o Desalado",427.675524479287
"34",2017,"Reparación de Pozos de Petróleo(pozos)",395.846211747462
"35",2017,"Baterias y Plantas de Deshidratación y/o Desalado",372.680303698544
"36",2020,"Otras Inversiones",365.461812284525
"37",2014,"Baterias y Plantas de Deshidratación y/o Desalado",336.84654337
"38",2018,"Baterias y Plantas de Deshidratación y/o Desalado",323.315840262
"39",2012,"Otras Inversiones",316.048991
"40",2018,"Plantas de Tratamiento de Gas Natural",312.695248998
"41",2018,"Reparación de Pozos de Petróleo(pozos)",294.745530426056
"42",2017,"Plantas de Tratamiento de Gas Natural",281.45858759
"43",2020,"Perforación Pozos Productores de Gas(pozos)",267.34185
"44",2014,"Perforación Pozos Inyectores de Agua(pozos)",266.676
"45",2013,"Baterias y Plantas de Deshidratación y/o Desalado",264.376359562586
"46",2020,"Reparación de Pozos de Petróleo(pozos)",261.510106054445
"47",2015,"Baterias y Plantas de Deshidratación y/o Desalado",256.4171329
"48",2014,"Perforación Pozos Avanzada(pozos)",241.3007
"49",2020,"Baterias y Plantas de Deshidratación y/o Desalado",236.086381124475
"50",2012,"Baterias y Plantas de Deshidratación y/o Desalado",229.55427256
"51",2015,"Perforación Pozos Avanzada(pozos)",202.622
"52",2015,"Plantas de Compresión de Gas Natural",201.226
"53",2017,"Perforación Pozos Avanzada(pozos)",201.166961
"54",2013,"Perforación Pozos Inyectores de Agua(pozos)",192.78601975
"55",2015,"Perforación Pozos Inyectores de Agua(pozos)",187.405
"56",2015,"Edificios, Almacenes, Obras Civiles, Caminos, etc.",171.70947226
"57",2013,"Perforación Pozos Avanzada(pozos)",158.66985374
"58",2012,"Instalaciones Recuperación Secundaria",156.228
"59",2016,"Perforación Pozos Avanzada(pozos)",153.0377
"60",2018,"Perforación Pozos Avanzada(pozos)",149.945912607
"61",2013,"Instalaciones Recuperación Secundaria",148.9973152585
"62",2014,"Oleoductos(km)",146.422
"63",2017,"Reparación de Pozos de Gas(pozos)",144.49013495
"64",2014,"Instalaciones Recuperación Secundaria",143.803193
"65",2016,"Plantas de Compresión de Gas Natural",140.0093
"66",2019,"Perforación Pozos Avanzada(pozos)",134.962865252812
"67",2015,"Reparación de Pozos de Gas(pozos)",134.16643325
"68",2012,"Perforación Pozos Avanzada(pozos)",129.256
"69",2016,"Reparación de Pozos de Gas(pozos)",129.21213957
"70",2015,"Oleoductos(km)",129.1274
"71",2019,"Instalaciones Recuperación Secundaria",129.08860165118
"72",2018,"Conversión de Pozos(pozos)",127.807134057931
"73",2015,"Instalaciones Recuperación Secundaria",123.647351
"74",2018,"Perforación Pozos Inyectores de Agua(pozos)",121.38857896
"75",2017,"Medio Ambiente",120.98292364
"76",2017,"Perforación Pozos Inyectores de Agua(pozos)",119.207731
"77",2018,"Gasoductos(km)",117.56581023
"78",2019,"Oleoductos(km)",113.142346774358
"79",2016,"Perforación Pozos Inyectores de Agua(pozos)",112.29
"80",2013,"Medio Ambiente",111.599917485816
"81",2014,"Gasoductos(km)",111.17
"82",2018,"Reparación de Pozos de Gas(pozos)",110.809835953
"83",2012,"Perforación Pozos Inyectores de Agua(pozos)",109.306
"84",2013,"Reparación de Pozos de Gas(pozos)",108.586749106016
"85",2017,"Gasoductos(km)",104.21194428
"86",2018,"Plantas de Compresión de Gas Natural",102.80498189048
"87",2019,"Plantas de Tratamiento de Gas Natural",101.546725639802
"88",2017,"Plantas de Compresión de Gas Natural",101.40815488
"89",2018,"Redes de Captación de Gas Natural(m)",101.177437256
"90",2013,"Plantas de Tratamiento de Gas Natural",100.460144676963
"91",2016,"Oleoductos(km)",99.73991416
"92",2020,"Perforación Pozos Avanzada(pozos)",97.27416885
"93",2017,"Oleoductos(km)",97.05320318
"94",2014,"Reparación de Pozos de Gas(pozos)",95.73214058
